Issue key,Issue id,Priority,Summary,Status,Custom field (Section / Feature),Custom field (Section / Feature),Custom field (Section / Feature),Sprint
XDD-1,1,P2,Test Summary 1,Done,Repositories,,,Helloworld v1.24
XDD-2,2,P2,Test Summary 2,Done,Repositories,,,Helloworld v1.24
XDD-3,3,P0,Test Summary 3,Done,Authentication,,,Helloworld v1.24
XDD-4,4,P2,Test Summary 4,Done,Authorization,,,Helloworld v1.24
XDD-5,5,P2,Test Summary 5,Done,Authorization,,,Helloworld v1.24
XDD-6,6,P2,Test Summary 6,Done,Commits,,,Helloworld v1.24
XDD-7,7,P3,Test Summary 7,Done,Feature Flag,,,Helloworld v1.24
XDD-8,8,P3,Test Summary 8,Done,Pull Requests,,,Helloworld v1.24
XDD-9,9,P3,Test Summary 9,Done,Authorization,Issues,Commits,Helloworld v1.24
XDD-10,10,P1,Test Summary 10,Done,Authorization,,,Helloworld v1.24
XDD-11,11,P1,Test Summary 11,Done,Issues,,,Helloworld v1.24
XDD-12,12,P2,Test Summary 12,Done,Repositories,,,Helloworld v1.24
XDD-13,13,P1,Test Summary 13,Done,Repositories,,,Helloworld v1.24
XDD-14,14,P2,Test Summary 14,Done,Repositories,,,Helloworld v1.24
XDD-15,15,P2,Test Summary 15,Done,Repositories,,,Helloworld v1.24
XDD-16,16,P2,Test Summary 16,Done,Repositories,,,Helloworld v1.24
XDD-17,17,P3,Test Summary 17,Done,Issues,,,Helloworld v1.23
XDD-18,18,P2,Test Summary 18,Done,Commits,,,Helloworld v1.23
XDD-19,19,P2,Test Summary 19,Done,Commits,,,Helloworld v1.23
XDD-20,20,P3,Test Summary 20,Done,Issues,,,Helloworld v1.24
XDD-21,21,P3,Test Summary 21,Done,Issues,,,Helloworld v1.24
XDD-22,22,P3,Test Summary 22,Done,Issues,,,Helloworld v1.24